_step,train/loss,train/learning_rate
8,3.8297119140625,1.0800000183053271e-07
150,1.3974609375,1.8120000504495692e-06
151,1.40179443359375,1.8240001509184367e-06
252,1.4006551504135132,3.0359999527718173e-06
275,1.4029541015625,3.31200021719269e-06
341,1.4807535409927368,4.103999799554003e-06
371,1.44390869140625,4.464000085135922e-06
505,1.411865234375,6.071999905543635e-06
531,1.3780313730239868,6.383999789250083e-06
556,1.3463134765625,6.68399979986134e-06
690,1.33905029296875,8.291999620269053e-06
789,1.3618978261947632,9.479999789618887e-06
873,1.3586221933364868,1.0487999134056736e-05
981,1.3922525644302368,1.1783999980252702e-05
1051,1.3160806894302368,1.262400019186316e-05
1119,1.3282877206802368,1.3439999747788534e-05
1146,1.3283487558364868,1.3763999049842823e-05
1231,1.3315023183822632,1.4784000086365268e-05
1235,1.3395589590072632,1.4831999578746036e-05
1300,1.3059285879135132,1.5612000424880534e-05
1396,1.3285115957260132,1.676399915595539e-05
1457,1.3053792715072632,1.749600050970912e-05
1546,1.30078125,1.856400012911763e-05
1559,1.3736776113510132,1.872000029834453e-05
1564,1.31756591796875,1.877999966382049e-05
1598,1.3023477792739868,1.918800080602523e-05
1974,1.2926839590072632,2.370000038354192e-05
1986,1.2885538339614868,2.384400249866303e-05
2025,1.28643798828125,2.4311999368364923e-05
2052,1.2875162363052368,2.4635999579913914e-05
2077,1.2958170175552368,2.493600004527252e-05
2095,1.2814737558364868,2.5152001398964785e-05
2186,1.2927449941635132,2.624400076456368e-05
2212,1.29248046875,2.6555999284028076e-05
2215,1.2854207754135132,2.6592000722303055e-05
2226,1.28228759765625,2.672400114533957e-05
2273,1.276611328125,2.7288000637781806e-05
2319,1.274169921875,2.7840002076118253e-05
2325,1.27398681640625,2.7911999495700002e-05
2355,1.2772623300552368,2.827199932653457e-05
2450,1.27093505859375,2.941200182249304e-05
2515,1.2743734121322632,3.000000106112566e-05
2534,1.27215576171875,2.999999742314685e-05
2548,1.2668863534927368,2.9999993785168044e-05
2611,1.2668863534927368,2.9999971957295202e-05
2647,1.2598470449447632,2.999995012942236e-05
2649,1.2635904550552368,2.999995012942236e-05
2783,1.26641845703125,2.9999819162185304e-05
3225,1.25494384765625,2.999881689902395e-05
3248,1.25579833984375,2.9998738682479598e-05
3256,1.2494302988052368,2.999871503561735e-05
3427,1.2486368417739868,2.999806747538969e-05
3504,1.2489420175552368,2.999773460032884e-05
3556,1.2461141347885132,2.999749267473817e-05
3577,1.2467041015625,2.9997392630320974e-05
3685,1.2403768301010132,2.9996845114510506e-05
3712,1.2413330078125,2.9996699595358223e-05
3716,1.2403157949447632,2.999667776748538e-05
