batch_size,prompt_len,output_len,e2e_ms,ttft_ms,tpot_ms,throughput_tok_s
1,128,32,856.3064080663025,33.92831701785326,26.52832551769191,37.369800924720266
1,128,512,13678.784199990332,33.54934090748429,26.703003638126905,37.43022716890013
1,2048,32,1182.7429169788957,324.2157092317939,27.69442605635812,27.055752810372564
1,2048,512,14579.569661058486,325.7634057663381,27.893945705072696,35.117634601214185
8,128,32,1038.70382392779,171.0997400805354,27.987228511201756,246.4610162230393
8,128,512,15067.980555351824,169.8555201292038,29.154843513155814,271.8347017341477
8,2048,32,3626.3408111408353,2476.178449112922,37.10201167831978,70.59457820773973
8,2048,512,21919.42728916183,2480.2715508267283,38.04140066210392,186.8661961813796
