layer,metric,mean,max,std,last_value,last_iteration
12,fc2_activation_mse,0.00010000000000000002,0.0001,1.3555597158861852e-20,0.0001,22070
13,fc2_activation_mse,0.00010000000000000002,0.0001,1.3555597158861852e-20,0.0001,22070
14,fc2_activation_mse,0.0001009057971014493,0.0002,9.476281549528609e-06,0.0001,22070
15,fc2_activation_mse,0.00013138586956521742,0.0002,4.641648320926826e-05,0.0001,22070
16,fc2_activation_mse,0.0002010416666666667,0.0003,1.0155210676376379e-05,0.0002,22070
17,fc2_activation_mse,0.000211911231884058,0.0003,3.239940062103462e-05,0.0002,22070
18,fc2_activation_mse,0.0003035326086956521,0.0004,1.8464451109318816e-05,0.0003,22070
19,fc2_activation_mse,0.00035765398550724643,0.0005,5.183819780496143e-05,0.0003,22070
20,fc2_activation_mse,0.0004455615942028986,0.0006,5.160102607306921e-05,0.0004,22070
21,fc2_activation_mse,0.000529393115942029,0.0007,4.5764842746474796e-05,0.0005,22070
22,fc2_activation_mse,0.0005641304347826087,0.0007,5.2913015773381075e-05,0.0005,22070
23,fc2_activation_mse,0.0006408514492753623,0.0008,4.9989574243177876e-05,0.0006,22070
24,fc2_activation_mse,0.000714447463768116,0.0009,3.5293615381861173e-05,0.0007,22070
25,fc2_activation_mse,0.0008143568840579712,0.001,3.520209486909516e-05,0.0008,22070
26,fc2_activation_mse,0.001104166666666667,0.0013,2.0212584140077033e-05,0.0011,22070
27,fc2_activation_mse,0.0018778985507246376,0.0024,6.110835999099841e-05,0.002,22070
28,fc2_activation_mse,0.0034793931159420293,0.0039,0.00018354657738429517,0.0038,22070
29,fc2_activation_mse,0.04778654891304348,0.0853,0.020190657514919705,0.0853,22070
30,fc2_activation_mse,10575732.730666848,37424176.0,10196471.13080079,37293884.0,22070
3,fc2_activation_scale_inv_max,0.042000498188405795,0.25,0.018195257843685104,0.0312,22070
4,fc2_activation_scale_inv_max,0.09904325181159421,0.5,0.03604748554434518,0.0625,22070
5,fc2_activation_scale_inv_max,0.13264266304347827,1.0,0.06947365080650952,0.125,22070
6,fc2_activation_scale_inv_max,0.4494451992753623,2.0,0.17943669771323598,0.25,22070
7,fc2_activation_scale_inv_max,0.4422554347826087,1.0,0.12131532183005854,0.5,22070
8,fc2_activation_scale_inv_max,0.250679347826087,0.5,0.021605590265084285,0.25,22070
9,fc2_activation_scale_inv_max,0.5578577898550725,1.0,0.19514516264064946,1.0,22070
10,fc2_activation_scale_inv_max,0.5047554347826086,1.0,0.06500171805886218,0.5,22070
11,fc2_activation_scale_inv_max,0.5310235507246377,1.0,0.12064786368578957,0.5,22070
12,fc2_activation_scale_inv_max,0.6650815217391305,2.0,0.23806136796829055,0.5,22070
13,fc2_activation_scale_inv_max,0.4891304347826087,1.0,0.07522547420014938,0.5,22070
14,fc2_activation_scale_inv_max,0.5011322463768116,1.0,0.039806790877131085,0.5,22070
15,fc2_activation_scale_inv_max,0.5297780797101449,1.0,0.12430976855703338,0.5,22070
16,fc2_activation_scale_inv_max,0.47384510869565216,1.0,0.08594488024861494,0.5,22070
17,fc2_activation_scale_inv_max,0.49626358695652173,0.5,0.030340721785341678,0.5,22070
18,fc2_activation_scale_inv_max,0.5912590579710145,1.0,0.1931792294453485,1.0,22070
19,fc2_activation_scale_inv_max,0.9347826086956522,2.0,0.17631465628506773,1.0,22070
20,fc2_activation_scale_inv_max,1.0031702898550725,2.0,0.05622873850208846,1.0,22070
21,fc2_activation_scale_inv_max,0.6216032608695652,1.0,0.21455797962975173,0.5,22070
22,fc2_activation_scale_inv_max,0.5074728260869565,1.0,0.060681443570683356,0.5,22070
23,fc2_activation_scale_inv_max,0.5219655797101449,1.0,0.10249419929889718,0.5,22070
24,fc2_activation_scale_inv_max,0.3177083333333333,0.5,0.11112271342283452,0.25,22070
25,fc2_activation_scale_inv_max,0.5978260869565217,1.0,0.19839588376700656,1.0,22070
26,fc2_activation_scale_inv_max,0.4704483695652174,1.0,0.08280934948202348,0.5,22070
27,fc2_activation_scale_inv_max,1.0276268115942029,2.0,0.16393822879466644,2.0,22070
28,fc2_activation_scale_inv_max,1.903532608695652,4.0,0.30436519515514215,2.0,22070
29,fc2_activation_scale_inv_max,3.7490942028985508,8.0,2.446435520314143,4.0,22070
30,fc2_activation_scale_inv_max,7984.231884057971,16384.0,4733.390573412375,16384.0,22070
3,fc2_activation_scale_inv_min,6.159420289855074e-06,0.0001,2.4047150897144483e-05,0.0,22070
4,fc2_activation_scale_inv_min,2.7807971014492753e-05,0.0001,4.4815437759564475e-05,0.0,22070
5,fc2_activation_scale_inv_min,0.00010000000000000002,0.0001,1.3555597158861852e-20,0.0001,22070
6,fc2_activation_scale_inv_min,0.000101268115942029,0.0002,1.1191970618545209e-05,0.0001,22070
7,fc2_activation_scale_inv_min,0.00010335144927536234,0.0002,1.800165218418471e-05,0.0001,22070
8,fc2_activation_scale_inv_min,0.00019759963768115947,0.0002,1.530949519990799e-05,0.0002,22070
9,fc2_activation_scale_inv_min,0.000203804347826087,0.0005,3.3575911855635626e-05,0.0002,22070
10,fc2_activation_scale_inv_min,0.0002112771739130435,0.0005,5.707409936309455e-05,0.0002,22070
11,fc2_activation_scale_inv_min,0.0004118206521739131,0.0005,0.00013669919579358206,0.0002,22070
12,fc2_activation_scale_inv_min,0.000500679347826087,0.001,1.842189181350855e-05,0.0005,22070
13,fc2_activation_scale_inv_min,0.0006544384057971015,0.001,0.00023106744242021445,0.0005,22070
14,fc2_activation_scale_inv_min,0.0009680706521739131,0.001,0.00012227821712201145,0.001,22070
15,fc2_activation_scale_inv_min,0.000996603260869565,0.001,4.1080360737183383e-05,0.001,22070
16,fc2_activation_scale_inv_min,0.001,0.001,0.0,0.001,22070
17,fc2_activation_scale_inv_min,0.001,0.001,0.0,0.001,22070
18,fc2_activation_scale_inv_min,0.001,0.001,0.0,0.001,22070
19,fc2_activation_scale_inv_min,0.001047554347826087,0.002,0.0002128695709270587,0.001,22070
20,fc2_activation_scale_inv_min,0.0012767210144927535,0.002,0.0004474786941970257,0.001,22070
21,fc2_activation_scale_inv_min,0.0015878623188405798,0.002,0.0004923311802065679,0.001,22070
22,fc2_activation_scale_inv_min,0.0018274456521739132,0.002,0.0003779471374815815,0.002,22070
23,fc2_activation_scale_inv_min,0.0019818840579710144,0.002,0.00013340095341460631,0.002,22070
24,fc2_activation_scale_inv_min,0.0018668478260869565,0.002,0.00033981608399582684,0.002,22070
25,fc2_activation_scale_inv_min,0.0019221014492753622,0.002,0.00026807258929037415,0.002,22070
26,fc2_activation_scale_inv_min,0.002,0.002,0.0,0.002,22070
27,fc2_activation_scale_inv_min,0.0028914855072463773,0.0039,0.0009484110020867145,0.002,22070
28,fc2_activation_scale_inv_min,0.0039000000000000003,0.0039,4.337791090835793e-19,0.0039,22070
29,fc2_activation_scale_inv_min,0.007838858695652174,0.0156,0.0007953153287185645,0.0078,22070
30,fc2_activation_scale_inv_min,29.155797101449274,64.0,12.229981762784202,64.0,22070
3,fc2_activation_underflows%,0.02502758152173913,0.0321,0.003046909364689351,0.0259,22070
4,fc2_activation_underflows%,0.015614356884057972,0.0173,0.001427599479872488,0.0168,22070
5,fc2_activation_underflows%,0.012880434782608694,0.014,0.000669950117035009,0.0132,22070
6,fc2_activation_underflows%,0.013008016304347825,0.0139,0.00038871024603834346,0.0127,22070
7,fc2_activation_underflows%,0.011875317028985508,0.0129,0.00038415889921465245,0.0116,22070
8,fc2_activation_underflows%,0.009804528985507245,0.0111,0.00033956361434241844,0.0095,22070
9,fc2_activation_underflows%,0.008415172101449275,0.0098,0.00030884978496008525,0.0081,22070
